key,name,notes,expectedPercentage,kind,key:strategy
# base entity
tactic-00,,,-0.00,,
# name - standard variations
tactic-01,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",101.00,SUBTLE,strategy-00
tactic-02,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.00,SUBTLE,strategy-00
# name - no singular values
# description - standard variations
tactic-03,"Lorem ipsum dolor sit amet, consectetu",,0.00,SUBTLE,strategy-00
tactic-04,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",0.00,SUBTLE,strategy-00
# description - no singular values
# expectedPercentage - standard variations
tactic-05,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",100.01,SUBTLE,strategy-00
tactic-06,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",-0.01,SUBTLE,strategy-00
# expectedPercentage - no singular values
# kind - standard variations
# kind - no singular values
# strategy - standard variations
# strategy - no singular values
