key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:fundraiser
# base entity
strategy-00,ABC-123-A,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
# ticker - standard variations
strategy-01,TICKE,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-02,TICKER,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-03,TICKER-5555555,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-04,TICKER-66666666,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
# ticker - no singular values
# name - standard variations
strategy-05,ZXC-123-B,"L","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-06,ZXC-123-C,"Lo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-07,ZXC-123-D,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-08,ZXC-123-E,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-09,ZXC-123-F,"โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-10,ZXC-123-G,"لوريم إيبسوم","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-11,ZXC-123-H,"洛伦·伊普森","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-12,ZXC-123-I,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-13,ZXC-123-J,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-14,ZXC-123-K,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
# name - no singular values
# description - standard variations
strategy-15,ZXC-123-L,"Lorem ipsum dolor sit amet, consectetu","L",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-16,ZXC-123-M,"Lorem ipsum dolor sit amet, consectetu","Lo",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-17,ZXC-123-N,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-18,ZXC-123-O,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-19,ZXC-123-P,"Lorem ipsum dolor sit amet, consectetu","โลเร็ม อิปซัม",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-20,ZXC-123-Q,"Lorem ipsum dolor sit amet, consectetu","لوريم إيبسوم",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-21,ZXC-123-R,"Lorem ipsum dolor sit amet, consectetu","洛伦·伊普森",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-22,ZXC-123-S,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-23,ZXC-123-T,"Lorem ipsum dolor sit amet, consectetu",<script>alert(‘Hacked!’);</script>,2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-24,ZXC-123-U,"Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A,2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
# description - no singular values
# startMoment - standard variations
strategy-25,ZXC-123-V,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-26,ZXC-123-W,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/01 0:01,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-27,ZXC-123-X,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2200/12/31 23:58,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-28,ZXC-123-Y,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2200/12/31 23:59,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
# startMoment - no singular values
# endMoment - standard variations
strategy-50,ZXC-123-Z,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2025/01/01 0:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-51,XCV-123-A,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2025/01/01 0:01,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-52,XCV-123-B,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2200/12/31 23:58,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-53,XCV-123-C,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2200/12/31 23:59,http://lorem.com/ipsum,TRUE,fundraiser-01
# endMoment - no singular values
# moreInfo - standard variations
strategy-29,XCV-123-D,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,,TRUE,fundraiser-01
strategy-30,XCV-123-E,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://lorem.com/ipsum,TRUE,fundraiser-01
strategy-31,XCV-123-F,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,https://a.org,TRUE,fundraiser-01
strategy-32,XCV-123-H,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2026/01/01 10:00,2027/01/01 10:00,http://a.b,TRUE,fundraiser-01
